node,label
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,1
10,1
11,1
12,1
13,1
14,2
15,2
16,2
17,2
18,2
19,2
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,4
30,4
31,4
32,4
33,4
34,4
35,4
36,4
37,4
38,4
39,4
40,4
41,4
42,5
43,5
44,5
45,5
46,5
47,5
48,5
49,5
50,6
51,6
52,6
53,6
54,6
55,6
56,6
57,7
58,7
59,7
60,7
61,7
62,7
63,7
64,7
65,8
66,8
67,8
68,8
69,8
70,8
71,8
72,8
73,9
74,9
75,9
76,9
77,9
78,9
79,10
80,10
81,10
82,10
83,10
84,10
85,11
86,11
87,11
88,11
89,11
90,11
91,11
92,11
93,11
94,12
95,12
96,12
97,12
98,12
99,12
100,12
101,12
102,12
103,12
104,12
105,12
106,12
107,13
108,13
109,13
110,13
111,13
112,13
113,13
114,13
115,14
116,14
117,14
118,14
119,14
120,14
121,14
122,15
123,15
124,15
125,15
126,15
127,15
128,15
129,15
130,16
131,16
132,16
133,16
134,16
135,16
136,16
137,16
138,17
139,17
140,17
141,17
142,17
143,17
144,18
145,18
146,18
147,18
148,18
149,18
150,19
151,19
152,19
153,19
154,19
155,19
156,19
157,19
158,19
159,20
160,20
161,20
162,20
163,20
164,20
165,20
166,20
167,20
168,20
169,20
170,20
171,20
172,21
173,21
174,21
175,21
176,21
177,21
178,21
179,21
180,22
181,22
182,22
183,22
184,22
185,22
186,22
187,23
188,23
189,23
190,23
191,23
192,23
193,23
194,23
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,1
204,1
205,1
206,1
207,1
208,1
209,2
210,2
211,2
212,2
213,2
214,2
215,3
216,3
217,3
218,3
219,3
220,3
221,3
222,3
223,3
224,4
225,4
226,4
227,4
228,4
229,4
230,4
231,4
232,4
233,4
234,4
235,4
236,4
237,5
238,5
239,5
240,5
241,5
242,5
243,5
244,5
245,6
246,6
247,6
248,6
249,6
250,6
251,6
252,7
253,7
254,7
255,7
256,7
257,7
258,7
259,7
260,8
261,8
262,8
263,8
264,8
265,8
266,8
267,8
268,9
269,9
270,9
271,9
272,9
273,9
274,10
275,10
276,10
277,10
278,10
279,10
280,11
281,11
282,11
283,11
284,11
285,11
286,11
287,11
288,11
289,12
290,12
291,12
292,12
293,12
294,12
295,12
296,12
297,12
298,12
299,12
300,12
301,12
302,13
303,13
304,13
305,13
306,13
307,13
308,13
309,13
310,14
311,14
312,14
313,14
314,14
315,14
316,14
317,15
318,15
319,15
320,15
321,15
322,15
323,15
324,15
325,16
326,16
327,16
328,16
329,16
330,16
331,16
332,16
333,17
334,17
335,17
336,17
337,17
338,17
339,18
340,18
341,18
342,18
343,18
344,18
345,19
346,19
347,19
348,19
349,19
350,19
351,19
352,19
353,19
354,20
355,20
356,20
357,20
358,20
359,20
360,20
361,20
362,20
363,20
364,20
365,20
366,20
367,21
368,21
369,21
370,21
371,21
372,21
373,21
374,21
375,22
376,22
377,22
378,22
379,22
380,22
381,22
382,23
383,23
384,23
385,23
386,23
387,23
388,23
389,23
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,1
399,1
400,1
401,1
402,1
403,1
404,2
405,2
406,2
407,2
408,2
409,2
410,3
411,3
412,3
413,3
414,3
415,3
416,3
417,3
418,3
419,4
420,4
421,4
422,4
423,4
424,4
425,4
426,4
427,4
428,4
429,4
430,4
431,4
432,5
433,5
434,5
435,5
436,5
437,5
438,5
439,5
440,6
441,6
442,6
443,6
444,6
445,6
446,6
447,7
448,7
449,7
450,7
451,7
452,7
453,7
454,7
455,8
456,8
457,8
458,8
459,8
460,8
461,8
462,8
463,9
464,9
465,9
466,9
467,9
468,9
469,10
470,10
471,10
472,10
473,10
474,10
475,11
476,11
477,11
478,11
479,11
480,11
481,11
482,11
483,11
484,12
485,12
486,12
487,12
488,12
489,12
490,12
491,12
492,12
493,12
494,12
495,12
496,12
497,13
498,13
499,13
500,13
501,13
502,13
503,13
504,13
505,14
506,14
507,14
508,14
509,14
510,14
511,14
512,15
513,15
514,15
515,15
516,15
517,15
518,15
519,15
520,16
521,16
522,16
523,16
524,16
525,16
526,16
527,16
528,17
529,17
530,17
531,17
532,17
